Week,Day,Date,Unnamed: 3,Unnamed: 4,OT,Unnamed: 6,Opp,Tm,Opp.1,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att.1,Yds.2,Y/A.1,TD.1,FGM,FGA,XPM,XPA,Pnt,Yds.3,3DConv,3DAtt,4DConv,4DAtt,ToP,Week,Day,Date,Unnamed: 3,Unnamed: 4,OT,Unnamed: 6,Opp,Tm,Opp.1,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att.1,Yds.2,Y/A.1,TD.1,FGM,FGA,XPM,XPA,Pnt,Yds.3,3DConv,3DAtt,4DConv,4DAtt,ToP
1,Sun,September 10,boxscore,W,,@,Chicago Bears,38,20,15,27,237,3,0,1,8,9.1,8.5,55.6,122.0,32,92,2.9,1,1,1,5,5,5,249,9,16,1,2,29:17,1,Sun,September 10,boxscore,W,,@,Chicago Bears,38,20,24,37,189,1,1,4,27,5.8,4.6,64.9,75.2,29,122,4.2,1,2,2,0,0,4,212,3,13,1,2,30:43
2,Sun,September 17,boxscore,L,,@,Atlanta Falcons,24,25,14,25,140,3,0,1,11,6.0,5.4,56.0,111.7,21,84,4.0,0,1,1,3,3,4,199,3,9,0,1,23:45,2,Sun,September 17,boxscore,L,,@,Atlanta Falcons,24,25,19,32,235,1,1,1,2,7.4,7.1,59.4,79.6,45,211,4.7,1,4,4,1,2,1,45,6,15,3,4,36:15
3,Sun,September 24,boxscore,W,,,New Orleans Saints,18,17,22,44,245,1,1,1,14,5.9,5.4,50.0,65.1,26,95,3.7,1,1,1,1,1,4,153,8,18,1,3,32:35,3,Sun,September 24,boxscore,W,,,New Orleans Saints,18,17,23,34,175,1,0,4,29,6.0,4.6,67.6,89.7,22,77,3.5,0,1,2,2,2,7,293,4,14,1,1,27:25
4,Thu,September 28,boxscore,L,,,Detroit Lions,20,34,23,36,203,1,2,5,43,6.8,5.0,63.9,64.9,12,27,2.3,1,2,2,0,0,5,259,3,11,1,1,22:02,4,Thu,September 28,boxscore,L,,,Detroit Lions,20,34,19,28,190,1,1,2,20,7.5,6.3,67.9,83.9,43,211,4.9,3,2,2,4,4,4,180,7,17,2,2,37:58
5,Mon,October 9,boxscore,L,,@,Las Vegas Raiders,13,17,16,30,175,0,3,2,7,6.1,5.5,53.3,31.2,25,110,4.4,1,2,2,1,1,4,184,4,12,1,1,27:26,5,Mon,October 9,boxscore,L,,@,Las Vegas Raiders,13,17,22,31,183,1,1,4,25,6.7,5.2,71.0,83.1,29,96,3.3,1,1,3,2,2,4,189,5,13,1,1,32:34
7,Sun,October 22,boxscore,L,,@,Denver Broncos,17,19,22,32,194,2,1,0,0,6.1,6.1,68.8,92.4,29,137,4.7,0,1,2,2,2,3,155,6,14,2,2,31:37,7,Sun,October 22,boxscore,L,,@,Denver Broncos,17,19,20,29,194,1,0,1,0,6.7,6.5,69.0,98.9,25,145,5.8,0,4,4,1,1,3,132,5,12,0,1,28:23
8,Sun,October 29,boxscore,L,,,Minnesota Vikings,10,24,24,41,196,1,1,4,33,5.6,4.4,58.5,68.8,17,74,4.4,0,1,1,1,1,4,207,5,14,1,4,23:38,8,Sun,October 29,boxscore,L,,,Minnesota Vikings,10,24,26,35,284,2,0,3,13,8.5,7.5,74.3,116.8,31,62,2.0,1,1,3,3,3,2,87,10,18,1,1,36:22
9,Sun,November 5,boxscore,W,,,Los Angeles Rams,20,3,20,26,207,1,0,4,21,8.8,6.9,76.9,112.2,38,184,4.8,1,2,3,2,2,4,174,7,14,1,1,35:16,9,Sun,November 5,boxscore,W,,,Los Angeles Rams,20,3,13,28,119,0,1,1,11,4.6,4.1,46.4,43.6,26,68,2.6,0,1,2,0,0,5,224,5,14,0,2,24:44
10,Sun,November 12,boxscore,L,,@,Pittsburgh Steelers,19,23,21,40,283,2,2,1,6,7.2,6.9,52.5,71.1,24,116,4.8,0,2,2,1,2,4,179,8,16,2,2,29:27,10,Sun,November 12,boxscore,L,,@,Pittsburgh Steelers,19,23,14,23,119,0,0,1,7,5.5,5.0,60.9,74.4,36,205,5.7,2,3,3,2,2,5,224,4,13,1,1,30:33
11,Sun,November 19,boxscore,W,,,Los Angeles Chargers,23,20,27,40,295,2,0,3,27,8.1,6.9,67.5,105.7,28,102,3.6,1,1,2,2,3,4,193,7,14,0,1,31:58,11,Sun,November 19,boxscore,W,,,Los Angeles Chargers,23,20,21,36,244,2,0,2,16,7.2,6.4,58.3,97.5,24,150,6.3,0,2,2,2,2,3,143,7,14,0,2,28:02
12,Thu,November 23,boxscore,W,,@,Detroit Lions,29,22,22,32,268,3,0,0,0,8.4,8.4,68.8,125.5,22,109,5.0,0,1,2,2,3,4,152,5,11,0,1,28:04,12,Thu,November 23,boxscore,W,,@,Detroit Lions,29,22,29,44,324,2,0,3,8,7.5,6.9,65.9,102.8,31,140,4.5,1,0,0,0,1,2,83,7,15,1,5,31:56
13,Sun,December 3,boxscore,W,,,Kansas City Chiefs,27,19,25,36,253,3,0,2,14,7.4,6.7,69.4,117.0,25,129,5.2,0,2,2,3,3,2,76,5,10,1,1,30:32,13,Sun,December 3,boxscore,W,,,Kansas City Chiefs,27,19,21,33,189,1,1,3,21,6.4,5.3,63.6,76.5,25,148,5.9,1,2,2,1,1,1,57,7,11,0,1,29:28
14,Mon,December 11,boxscore,L,,@,New York Giants,22,24,25,39,203,1,1,2,15,5.6,5.0,64.1,75.1,25,123,4.9,1,3,4,1,1,3,119,5,14,1,1,31:06,14,Mon,December 11,boxscore,L,,@,New York Giants,22,24,17,21,158,1,0,0,0,7.5,7.5,81.0,113.9,34,209,6.1,2,1,2,3,3,4,164,3,10,0,1,28:54
15,Sun,December 17,boxscore,L,,,Tampa Bay Buccaneers,20,34,29,39,261,2,0,2,23,7.3,6.4,74.4,109.0,17,60,3.5,0,2,2,2,2,2,94,6,12,0,2,30:53,15,Sun,December 17,boxscore,L,,,Tampa Bay Buccaneers,20,34,22,28,353,4,0,5,28,13.6,10.7,78.6,158.3,27,99,3.7,0,2,2,4,4,1,65,7,11,1,1,29:07
16,Sun,December 24,boxscore,W,,@,Carolina Panthers,33,30,17,28,207,2,0,1,12,7.8,7.1,60.7,107.3,34,162,4.8,2,2,2,3,4,3,142,8,14,0,0,28:39,16,Sun,December 24,boxscore,W,,@,Carolina Panthers,33,30,23,36,298,2,0,2,14,8.7,7.8,63.9,108.3,25,96,3.8,2,1,1,1,3,3,151,6,13,1,2,31:21
17,Sun,December 31,boxscore,W,,@,Minnesota Vikings,33,10,25,34,293,3,0,0,0,8.6,8.6,73.5,128.7,39,177,4.5,1,2,2,3,4,2,99,9,14,0,1,37:32,17,Sun,December 31,boxscore,W,,@,Minnesota Vikings,33,10,18,32,144,1,1,4,36,5.6,4.0,56.3,65.1,16,67,4.2,0,1,1,1,1,4,218,3,10,0,2,22:28
18,Sun,January 7,boxscore,W,,,Chicago Bears,17,9,27,32,308,2,0,1,8,9.9,9.3,84.4,127.6,27,124,4.6,0,1,2,2,2,0,0,7,10,0,0,31:24,18,Sun,January 7,boxscore,W,,,Chicago Bears,17,9,11,16,117,0,0,5,31,9.3,5.6,68.8,89.8,25,75,3.0,0,3,3,0,0,3,137,3,11,1,1,28:36
